json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), protoref ser(micros), protoref len(bytes), protoref & lz4 #(micros), protoref & lz4 len(bytes), protoref & lz4 !(micros), protoref & snappy #(micros), protoref & snappy len(bytes), protoref & snappy !(micros), protoref & zlib #(micros), protoref & zlib len(bytes), protoref & zlib !(micros), protoref & zstd #(micros), protoref & zstd len(bytes), protoref & zstd !(micros), protoref de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros), capnproto ser(micros), capnproto len(bytes), capnproto & lz4 #(micros), capnproto & lz4 len(bytes), capnproto & lz4 !(micros), capnproto & snappy #(micros), capnproto & snappy len(bytes), capnproto & snappy !(micros), capnproto & zlib #(micros), capnproto & zlib len(bytes), capnproto & zlib !(micros), capnproto & zstd #(micros), capnproto & zstd len(bytes), capnproto & zstd !(micros), capnproto de(micros),
13308, 272130, 31569, 175890, 5476, 9404, 164017, 15158, 187537, 95603, 31417, 1717, 96621, 321, 27774, 8397, 94000, 10919, 92044, 2786, 4456, 94026, 3231, 64257, 78707, 12992, 805, 82430, 132, 16891, 262463, 94000, 10938, 91994, 2778, 4450, 94026, 3209, 64647, 78706, 12996, 812, 82423, 127, 130461, 8337, 152003, 19167, 97437, 4201, 5926, 102956, 7267, 131424, 82566, 18318, 856, 72918, 126, 27217, 13844, 166910, 19244, 97419, 4295, 5889, 101702, 7288, 126996, 84736, 19734, 1103, 77870, 166, 29314, 8476, 153003, 19349, 97391, 4202, 5965, 103004, 7260, 132522, 82449, 18296, 861, 72913, 127, 36135, 7339, 202008, 21684, 110832, 4616, 6620, 109795, 7538, 149413, 83266, 22703, 993, 73313, 142, 55818, 7033, 88048, 11496, 81532, 2849, 3626, 88074, 3215, 53505, 74952, 11848, 767, 72609, 109, 15253, 
13150, 272033, 31517, 175880, 5479, 9421, 164042, 15254, 187278, 95517, 31461, 1677, 96646, 317, 27781, 8349, 94000, 10848, 92015, 2786, 4457, 94026, 3232, 64478, 78690, 13049, 901, 82375, 127, 17097, 254834, 94000, 10888, 91982, 2799, 4479, 94026, 3237, 64728, 78682, 13019, 854, 82370, 131, 128836, 8218, 152003, 19133, 97364, 4224, 5948, 102964, 7313, 131913, 82547, 18253, 867, 72730, 125, 27282, 13864, 166910, 19106, 97377, 4347, 5925, 101723, 7312, 126144, 84723, 19739, 1015, 77898, 189, 29402, 8614, 153003, 19016, 97335, 4214, 6000, 103029, 7283, 132732, 82421, 18356, 872, 72822, 136, 36231, 7444, 202008, 21534, 110883, 4647, 6667, 109628, 7585, 148404, 83254, 22450, 881, 73206, 140, 56008, 6953, 88048, 11376, 81551, 2850, 3634, 88074, 3183, 53133, 74925, 11877, 827, 72551, 114, 15367, 
13315, 272103, 31529, 175984, 5500, 9391, 164359, 15192, 186633, 95542, 31821, 1675, 96613, 319, 27808, 8479, 94000, 10878, 91995, 2773, 4475, 94026, 3194, 64950, 78688, 12977, 827, 82281, 125, 16989, 258913, 94000, 10914, 92006, 2769, 4472, 94026, 3224, 64848, 78676, 13007, 871, 82312, 137, 129758, 8214, 152003, 19201, 97403, 4219, 5932, 102975, 7231, 131156, 82557, 18232, 868, 72877, 126, 27269, 13917, 166910, 19231, 97553, 4323, 5908, 101722, 7282, 126932, 84730, 19670, 1055, 77711, 172, 29316, 8504, 153003, 19301, 97353, 4226, 5949, 102978, 7295, 132214, 82438, 18361, 855, 72930, 124, 36106, 7367, 202008, 21498, 110809, 4594, 6617, 109658, 7532, 148449, 83256, 22433, 866, 73131, 135, 55795, 6982, 88048, 11359, 81571, 3010, 3683, 88074, 3208, 53463, 74882, 11821, 792, 72522, 112, 15291, 
13604, 271995, 31801, 175812, 5589, 9455, 164147, 15239, 187820, 95544, 31318, 1780, 96549, 372, 27768, 8419, 94000, 10551, 92101, 2789, 4464, 94026, 3228, 63672, 78703, 13032, 875, 82357, 136, 16882, 256527, 94000, 10619, 92077, 2781, 4460, 94026, 3213, 65286, 78703, 13054, 816, 82407, 124, 128011, 8295, 152003, 19262, 97566, 4254, 5942, 102974, 7259, 131946, 82595, 18285, 953, 72903, 128, 27463, 13846, 166910, 19282, 97465, 4301, 5913, 101932, 7478, 127902, 84713, 19844, 1025, 77927, 158, 29290, 8466, 153003, 19184, 97500, 4240, 5965, 102937, 7244, 132996, 82467, 18362, 859, 73043, 125, 36230, 7476, 202008, 21461, 110734, 4635, 6623, 109784, 7667, 149073, 83247, 22477, 858, 73024, 133, 55969, 6966, 88048, 11268, 81575, 2894, 3627, 88074, 3210, 53367, 74908, 11915, 763, 72537, 125, 15259, 
13174, 272037, 31341, 175846, 5533, 9415, 164324, 15157, 186870, 95595, 31302, 1671, 96479, 318, 27822, 8420, 94000, 10876, 92013, 2825, 4433, 94026, 3202, 64071, 78685, 13018, 839, 82195, 128, 16972, 259045, 94000, 10768, 92054, 2775, 4428, 94026, 3217, 64911, 78702, 13188, 821, 82177, 123, 128287, 8170, 152003, 19368, 97447, 4207, 5914, 103010, 7283, 131170, 82552, 18228, 906, 72951, 138, 27135, 13894, 166910, 19274, 97510, 4293, 5852, 101793, 7288, 127469, 84715, 19661, 920, 77761, 159, 29174, 8494, 153003, 19218, 97427, 4275, 5951, 103049, 7249, 131968, 82433, 18292, 867, 72962, 125, 36172, 7410, 202008, 21575, 110945, 4621, 6625, 109759, 7511, 148546, 83224, 22409, 973, 73099, 135, 55754, 6958, 88048, 11475, 81546, 2844, 3598, 88074, 3181, 53907, 74893, 11831, 826, 72515, 148, 15263, 
13083, 272114, 31542, 175806, 5488, 9360, 164228, 15972, 186745, 95652, 31319, 1677, 96584, 318, 27845, 8378, 94000, 10981, 91936, 2775, 4443, 94026, 3211, 64298, 78704, 12980, 835, 82305, 143, 16938, 262803, 94000, 10948, 91979, 2787, 4439, 94026, 3217, 64708, 78714, 12969, 803, 82316, 134, 129322, 8258, 152003, 19327, 97525, 4208, 5948, 103007, 7268, 131382, 82597, 18210, 865, 72891, 127, 27155, 13959, 166910, 19208, 97477, 4311, 5861, 101992, 7280, 126754, 84735, 19655, 1073, 77829, 164, 29183, 8560, 153003, 19258, 97490, 4190, 5906, 103110, 7292, 131987, 82483, 18319, 854, 73119, 125, 36242, 7397, 202008, 21698, 111090, 4620, 6614, 109695, 7535, 147795, 83330, 22442, 966, 72943, 136, 55645, 7014, 88048, 11584, 81552, 2839, 3594, 88074, 3188, 53583, 74961, 11855, 732, 72921, 113, 15164, 
13047, 272002, 31741, 175579, 5514, 9363, 164024, 15065, 186335, 95658, 31381, 1758, 96458, 323, 27926, 8411, 94000, 10978, 91938, 2784, 4475, 94026, 3201, 64620, 78695, 12967, 895, 82380, 124, 16987, 262617, 94000, 11010, 91957, 2797, 4457, 94026, 3205, 65245, 78689, 13033, 900, 82370, 135, 129518, 8167, 152003, 19268, 97390, 4192, 5935, 102973, 7275, 131832, 82585, 18285, 862, 72994, 125, 27194, 13970, 166910, 19187, 97436, 4297, 5918, 101825, 7305, 127930, 84678, 19715, 1013, 77768, 160, 29266, 8530, 153003, 19354, 97464, 4220, 5937, 102933, 7265, 132315, 82463, 18331, 900, 73037, 134, 36335, 7495, 202008, 21779, 111034, 4631, 6641, 109826, 7561, 148350, 83271, 22450, 912, 73113, 151, 55882, 6836, 88048, 11527, 81558, 2847, 3610, 88074, 3180, 54229, 74923, 11904, 729, 72981, 111, 15304, 
13156, 272024, 31713, 175944, 5502, 9406, 164226, 15169, 186520, 95671, 31214, 1675, 96669, 318, 27900, 8498, 94000, 10577, 92094, 2772, 4448, 94026, 3217, 65646, 78663, 12966, 925, 82356, 122, 16885, 261117, 94000, 10552, 92096, 2770, 4440, 94026, 3214, 65876, 78672, 12970, 805, 82344, 125, 129954, 8236, 152003, 19213, 97424, 4184, 5934, 103137, 7230, 131427, 82588, 18252, 861, 72901, 124, 27172, 13956, 166910, 19204, 97508, 4273, 5884, 101759, 7255, 126847, 84662, 19664, 919, 77955, 156, 29236, 8487, 153003, 19321, 97515, 4175, 5931, 103068, 7275, 132375, 82465, 18270, 861, 73040, 125, 36175, 7392, 202008, 21692, 110890, 4617, 6597, 109838, 7555, 148835, 83299, 22478, 871, 73054, 142, 55724, 6981, 88048, 11495, 81580, 2842, 3596, 88074, 3201, 54093, 74921, 11890, 722, 72546, 108, 15251, 
13287, 271999, 32020, 175973, 5561, 9428, 164254, 15185, 186562, 95636, 31401, 1685, 96480, 320, 27865, 8443, 94000, 10656, 92131, 2752, 4467, 94026, 3206, 64402, 78667, 12999, 801, 82361, 122, 16918, 255330, 94000, 10517, 92144, 2759, 4434, 94026, 3232, 64287, 78655, 12976, 790, 82367, 126, 129838, 8180, 152003, 19365, 97387, 4204, 6007, 103011, 7272, 131217, 82598, 18229, 839, 72757, 124, 27253, 13904, 166910, 19181, 97399, 4305, 5894, 101908, 7285, 126613, 84722, 19629, 1065, 77836, 158, 29425, 8462, 153003, 19176, 97540, 4201, 5980, 103108, 7260, 132773, 82471, 18384, 850, 72796, 125, 36350, 7361, 202008, 21602, 110815, 4546, 6664, 109738, 7537, 149253, 83255, 22347, 941, 73201, 134, 56009, 7042, 88048, 11496, 81541, 2855, 3602, 88074, 3218, 53781, 74959, 11817, 719, 72570, 107, 15279, 
13297, 272005, 31502, 176117, 5493, 9395, 164243, 15204, 185986, 95442, 31286, 1654, 96456, 340, 28097, 8473, 94000, 10899, 92000, 2770, 4411, 94026, 3236, 64952, 78652, 12949, 879, 82386, 124, 16942, 258676, 94000, 10787, 92039, 2757, 4414, 94026, 3209, 65305, 78668, 12987, 802, 82367, 122, 127872, 8151, 152003, 19259, 97441, 4214, 5917, 102970, 7229, 131327, 82628, 18210, 956, 72801, 120, 27178, 13956, 166910, 19145, 97493, 4291, 5929, 101881, 7296, 125992, 84741, 19616, 1010, 77851, 156, 29285, 8427, 153003, 19183, 97407, 4233, 5912, 102976, 7253, 132501, 82506, 18249, 882, 72851, 136, 36196, 7477, 202008, 21639, 110924, 4602, 6603, 109740, 7511, 147968, 83285, 22370, 971, 73034, 143, 55731, 6806, 88048, 11472, 81584, 2843, 3600, 88074, 3192, 52520, 74915, 11808, 741, 72558, 115, 15304, 
