batch_size, data_type, row_count, json_ser, json_lz4#, json_lz4!, json_snappy#, json_snappy!, json_zlib#, json_zlib!, json_zstd#, json_zstd!, json_de, protobuf_ser, protobuf_lz4#, protobuf_lz4!, protobuf_snappy#, protobuf_snappy!, protobuf_zlib#, protobuf_zlib!, protobuf_zstd#, protobuf_zstd!, protobuf_de, msgpack_ser, msgpack_lz4#, msgpack_lz4!, msgpack_snappy#, msgpack_snappy!, msgpack_zlib#, msgpack_zlib!, msgpack_zstd#, msgpack_zstd!, msgpack_de, bson_ser, bson_lz4#, bson_lz4!, bson_snappy#, bson_snappy!, bson_zlib#, bson_zlib!, bson_zstd#, bson_zstd!, bson_de, cbor_ser, cbor_lz4#, cbor_lz4!, cbor_snappy#, cbor_snappy!, cbor_zlib#, cbor_zlib!, cbor_zstd#, cbor_zstd!, cbor_de, pickle_ser, pickle_lz4#, pickle_lz4!, pickle_snappy#, pickle_snappy!, pickle_zlib#, pickle_zlib!, pickle_zstd#, pickle_zstd!, pickle_de
1, bms, 1498, 227758, 591412, 3459880, 282659, 201172, 1719640, 876911, 126471, 43599, 341989, 3972991, 143565, 47895, 83639, 73971, 974220, 126020, 98566, 22919, 1845505, 103303, 393772, 3304863, 175464, 121919, 1428103, 809314, 114309, 28488, 319461, 188129, 395780, 3230384, 234475, 180793, 1460478, 808734, 108012, 29529, 350099, 109162, 362598, 3092466, 161015, 114411, 1317659, 745541, 102912, 27582, 384333, 92869, 392454, 2993867, 220294, 168943, 1429231, 780860, 102871, 34297, 584184
1, gps, 374, 8063, 14157, 43773, 9994, 6962, 79212, 67517, 16432, 4100, 11613, 71528, 10215, 4373, 8262, 5060, 60597, 68458, 12172, 3380, 40282, 5354, 11277, 4481, 8331, 6317, 75325, 9585, 12075, 3281, 11097, 10815, 11702, 5740, 8773, 6100, 81102, 14013, 12741, 3173, 14946, 5815, 10364, 4142, 7758, 5879, 74034, 9253, 11045, 3129, 11486, 4440, 13715, 486921, 9357, 6575, 83755, 10679, 15107, 4028, 29382
1, imu, 3746, 286427, 479175, 1913731, 294842, 238166, 2252009, 1450305, 298524, 93931, 343478, 2393491, 225494, 83136, 148666, 109215, 1441653, 173701, 201628, 53728, 1260502, 116723, 226231, 82761, 141515, 124453, 1591816, 196634, 202192, 50896, 287380, 202480, 223231, 78714, 142622, 115276, 1561843, 194446, 192049, 46237, 330081, 115817, 197489, 71195, 122374, 109412, 1437501, 178001, 171782, 45211, 313929, 97975, 274891, 7113973, 157932, 115671, 1568099, 1018250, 214136, 54705, 602174
1, motor, 1498, 77751, 148246, 3391743, 81255, 57508, 677471, 511695, 106138, 34236, 107621, 714617, 78600, 30527, 56345, 37082, 512740, 62436, 71415, 21270, 392869, 42383, 102342, 3271018, 67269, 53132, 612265, 80345, 95022, 24495, 101525, 85404, 109008, 3159329, 67878, 51584, 633051, 492437, 92066, 23660, 124503, 45307, 98151, 3079851, 62406, 49802, 573631, 90082, 85167, 21817, 110922, 37711, 107474, 3022157, 63748, 48469, 600562, 470234, 87898, 21523, 212751
1, peripherals, 374, 12080, 21565, 519377, 11903, 10541, 100765, 78356, 17962, 5794, 20761, 161270, 12664, 4819, 9255, 6062, 75947, 9654, 12492, 3494, 83905, 8136, 16830, 474748, 10583, 8735, 93280, 75747, 16798, 5484, 20732, 16106, 20823, 502761, 11453, 10043, 100855, 77267, 16074, 5109, 26807, 8386, 16190, 453944, 10153, 8312, 88322, 71868, 16069, 5071, 25816, 7803, 21445, 492108, 11352, 9769, 102373, 77554, 16442, 5042, 49372
1, shadow, 374, 12135, 19856, 486499, 12129, 8471, 103362, 76434, 17731, 5441, 17929, 130671, 13075, 4846, 9218, 7015, 80373, 10023, 13337, 3501, 70761, 7834, 16833, 495188, 10870, 8649, 99589, 13322, 16528, 3576, 17996, 14296, 18648, 487341, 10440, 8275, 106896, 78508, 16464, 5716, 23462, 8144, 16463, 483341, 10072, 8298, 94989, 58602, 15695, 3451, 21369, 7090, 18234, 485615, 10648, 8266, 108669, 79228, 16378, 5398, 42229
10, bms, 217, 335308, 852856, 803488, 354619, 262557, 2436657, 627446, 35101, 11883, 420801, 5463181, 142205, 341799, 48626, 26525, 366009, 149642, 15273, 4758, 1409011, 65793, 227258, 311391, 124516, 100104, 849703, 260417, 16022, 3882, 229946, 116459, 215675, 308274, 125031, 98411, 856323, 276221, 15071, 3863, 248338, 70018, 223550, 307360, 122407, 99161, 852949, 260035, 13860, 3546, 311451, 61686, 237922, 312063, 126649, 101729, 859925, 298518, 13975, 3564, 450764
10, gps, 53, 4191, 5039, 67236, 2910, 2576, 19595, 13124, 2260, 751, 5174, 50036, 3829, 62891, 2013, 1522, 17404, 11911, 2131, 533, 26129, 2461, 4758, 66649, 2715, 2363, 20663, 13765, 1896, 516, 5314, 5047, 5428, 67124, 2860, 2406, 23696, 14695, 1899, 510, 6603, 2509, 4717, 66876, 2658, 2322, 20560, 13821, 1757, 524, 6776, 2291, 5250, 67254, 2767, 2390, 23509, 14904, 1880, 514, 13848
10, imu, 544, 237648, 583791, 1656246, 234597, 154284, 992270, 399833, 46058, 15691, 250372, 2324538, 94878, 597664, 49805, 33261, 514184, 276125, 34146, 7902, 1160735, 76871, 192129, 1048247, 89541, 61788, 651262, 324019, 34879, 9287, 241827, 131426, 196001, 1044560, 88416, 61763, 672033, 336748, 32891, 9193, 266570, 79933, 188127, 1040753, 86404, 60322, 642935, 321054, 30809, 8655, 311449, 69701, 227432, 1052353, 93615, 63528, 748960, 356871, 31217, 8804, 494367
10, motor, 217, 55092, 119027, 527681, 65240, 50300, 303823, 137856, 16215, 5827, 71873, 662282, 28915, 25517, 19308, 13687, 166892, 96583, 12568, 3097, 334995, 25432, 63366, 436176, 32652, 25433, 229330, 122786, 13105, 3648, 71322, 47814, 66193, 438460, 33273, 25341, 254067, 130533, 12739, 3684, 81265, 25890, 63873, 440385, 32573, 25520, 230428, 123951, 12110, 3525, 92744, 23038, 72755, 443489, 34205, 26121, 255195, 135992, 12276, 3555, 154925
10, peripherals, 53, 20827, 16154, 145190, 9560, 8433, 57105, 36300, 4589, 1550, 31183, 323050, 8073, 135567, 4983, 4726, 33420, 24343, 3931, 1276, 162601, 10440, 11112, 134167, 8140, 7603, 47797, 32589, 3749, 1122, 32519, 21129, 14747, 134988, 8713, 7876, 65038, 38144, 3630, 1303, 38477, 10748, 10888, 128776, 7467, 7088, 44059, 29074, 3121, 1124, 39530, 9260, 12857, 113079, 10652, 10356, 52124, 32146, 2973, 1009, 60254
10, shadow, 53, 12241, 13950, 107178, 7669, 6185, 50572, 28576, 3075, 1063, 16847, 140045, 5015, 68582, 2901, 2369, 21587, 14219, 2257, 515, 63114, 4530, 6992, 67082, 4515, 3886, 29453, 18244, 2242, 547, 12482, 8298, 8864, 67733, 4749, 4015, 42728, 21515, 2159, 560, 15443, 4751, 7228, 68574, 4313, 3812, 28838, 18039, 1934, 518, 17097, 4320, 7994, 67572, 6772, 6421, 36069, 21162, 2000, 525, 29232
