json ser(micros), json len(bytes), json & lz4 #(micros), json & lz4 len(bytes), json & lz4 !(micros), json & snappy #(micros), json & snappy len(bytes), json & snappy !(micros), json & zlib #(micros), json & zlib len(bytes), json & zlib !(micros), json & zstd #(micros), json & zstd len(bytes), json & zstd !(micros), json de(micros), protobuf ser(micros), protobuf len(bytes), protobuf & lz4 #(micros), protobuf & lz4 len(bytes), protobuf & lz4 !(micros), protobuf & snappy #(micros), protobuf & snappy len(bytes), protobuf & snappy !(micros), protobuf & zlib #(micros), protobuf & zlib len(bytes), protobuf & zlib !(micros), protobuf & zstd #(micros), protobuf & zstd len(bytes), protobuf & zstd !(micros), protobuf de(micros), msgpack ser(micros), msgpack len(bytes), msgpack & lz4 #(micros), msgpack & lz4 len(bytes), msgpack & lz4 !(micros), msgpack & snappy #(micros), msgpack & snappy len(bytes), msgpack & snappy !(micros), msgpack & zlib #(micros), msgpack & zlib len(bytes), msgpack & zlib !(micros), msgpack & zstd #(micros), msgpack & zstd len(bytes), msgpack & zstd !(micros), msgpack de(micros), bson ser(micros), bson len(bytes), bson & lz4 #(micros), bson & lz4 len(bytes), bson & lz4 !(micros), bson & snappy #(micros), bson & snappy len(bytes), bson & snappy !(micros), bson & zlib #(micros), bson & zlib len(bytes), bson & zlib !(micros), bson & zstd #(micros), bson & zstd len(bytes), bson & zstd !(micros), bson de(micros), cbor ser(micros), cbor len(bytes), cbor & lz4 #(micros), cbor & lz4 len(bytes), cbor & lz4 !(micros), cbor & snappy #(micros), cbor & snappy len(bytes), cbor & snappy !(micros), cbor & zlib #(micros), cbor & zlib len(bytes), cbor & zlib !(micros), cbor & zstd #(micros), cbor & zstd len(bytes), cbor & zstd !(micros), cbor de(micros), pickle ser(micros), pickle len(bytes), pickle & lz4 #(micros), pickle & lz4 len(bytes), pickle & lz4 !(micros), pickle & snappy #(micros), pickle & snappy len(bytes), pickle & snappy !(micros), pickle & zlib #(micros), pickle & zlib len(bytes), pickle & zlib !(micros), pickle & zstd #(micros), pickle & zstd len(bytes), pickle & zstd !(micros), pickle de(micros),
59281, 1336182, 120964, 659045, 19378, 37914, 616918, 61413, 681559, 339643, 141328, 6233, 385704, 1720, 104760, 1345691, 341438, 37274, 323565, 3911, 15098, 341496, 12688, 299175, 264007, 45745, 2430, 258238, 515, 615112, 27602, 940441, 74894, 413701, 10041, 25098, 381760, 30550, 583493, 278622, 96291, 2710, 242316, 572, 102128, 50494, 1025910, 68610, 367626, 10161, 26043, 388176, 29847, 595482, 284687, 103736, 3148, 283019, 859, 110257, 30483, 940003, 74258, 413783, 10102, 25141, 382218, 30598, 592757, 278622, 96235, 2707, 241248, 595, 137567, 26902, 1149008, 75829, 425927, 10809, 27761, 397846, 55309, 634279, 282452, 113839, 2822, 242492, 738, 198787, 
59708, 1336115, 121836, 659143, 19599, 37952, 617276, 61036, 682462, 339777, 140835, 6239, 385784, 1709, 104675, 1345166, 341435, 37194, 323461, 3878, 15183, 341493, 12639, 297362, 264020, 45606, 2419, 258518, 510, 615552, 27866, 940438, 74230, 413754, 10038, 24974, 381751, 30604, 584307, 278676, 95967, 2724, 242281, 567, 101471, 50269, 1025910, 68209, 367500, 10105, 25897, 388133, 29898, 593245, 284713, 103367, 3146, 282888, 868, 110307, 30631, 940003, 74316, 414212, 10155, 25067, 382087, 30452, 591484, 278683, 96120, 2733, 241109, 584, 137137, 26482, 1149008, 74999, 426329, 10814, 27654, 398224, 55156, 631989, 282488, 113842, 2815, 242628, 749, 198104, 
59779, 1336057, 121540, 659388, 19338, 37867, 617199, 60814, 683399, 339815, 140502, 6326, 386198, 1722, 104266, 1343699, 341425, 37594, 323539, 3877, 15050, 341483, 12620, 297534, 263977, 45601, 2416, 258314, 529, 612764, 27814, 940428, 74361, 413546, 10149, 25039, 381938, 30466, 584855, 278641, 95860, 2796, 242016, 562, 101358, 49994, 1025910, 68071, 367852, 10173, 25927, 388087, 29755, 593413, 284799, 103304, 3155, 282694, 873, 110046, 30339, 940003, 74544, 414079, 10180, 25071, 382344, 30637, 592066, 278657, 96024, 2816, 241141, 536, 137058, 26643, 1149008, 75561, 426374, 10758, 27561, 398523, 55074, 632547, 282516, 113372, 2815, 242024, 732, 198527, 
59448, 1336113, 121881, 659239, 19430, 37916, 617438, 60915, 682232, 340180, 140948, 6193, 385741, 1747, 104443, 1350269, 341456, 37466, 323601, 3879, 15214, 341514, 12693, 298441, 264037, 45789, 2424, 258124, 497, 613658, 28058, 940459, 74000, 414189, 10160, 25134, 382017, 30545, 583768, 278722, 96368, 2790, 242362, 558, 101846, 50576, 1025910, 67796, 367840, 10184, 26034, 388050, 29968, 595619, 284831, 103684, 3135, 282677, 866, 110077, 30387, 940003, 74257, 414332, 10163, 25173, 382350, 30603, 594476, 278730, 96242, 2721, 241737, 567, 137238, 26747, 1149008, 75129, 426263, 10767, 27706, 398051, 55094, 635960, 282548, 113717, 2932, 242947, 735, 199113, 
59761, 1336121, 121016, 659670, 19515, 37855, 617098, 60735, 681069, 339642, 140624, 6257, 385536, 1721, 104435, 1345308, 341437, 36977, 323448, 3867, 15005, 341495, 12686, 296180, 263868, 45654, 2416, 258211, 521, 614890, 28450, 940440, 74454, 413808, 10175, 24981, 381812, 30536, 584864, 278612, 95898, 2804, 242396, 584, 101550, 50351, 1025910, 68023, 367534, 10149, 25895, 387981, 29769, 594068, 284675, 103162, 3193, 283119, 871, 109826, 30373, 940003, 74352, 414750, 10170, 25039, 382323, 30677, 593260, 278625, 95788, 2697, 241446, 580, 137227, 26417, 1149008, 75409, 425955, 10766, 27571, 398252, 54857, 633896, 282432, 113528, 2820, 242558, 750, 198345, 
60040, 1335922, 121485, 659154, 19624, 37929, 617062, 60967, 681495, 339625, 140676, 6262, 385469, 1724, 104470, 1347815, 341412, 37337, 323467, 3893, 15200, 341470, 12678, 298934, 263980, 45657, 2399, 258180, 514, 612491, 27745, 940415, 74464, 413658, 10192, 24997, 381764, 30553, 584313, 278656, 96060, 2715, 242741, 550, 101420, 50796, 1025910, 67803, 367113, 10147, 26023, 388005, 29851, 594319, 284773, 103407, 3115, 282498, 881, 110233, 30534, 940003, 74599, 413835, 10192, 25060, 382028, 30759, 593189, 278629, 96122, 2814, 241949, 586, 137080, 26740, 1149008, 75434, 425977, 10869, 27631, 397919, 55084, 632726, 282426, 113645, 2934, 243734, 738, 198215, 
59857, 1337165, 121414, 659352, 19609, 37890, 617015, 61246, 680218, 339817, 141374, 6301, 385784, 1726, 104758, 1342515, 341454, 37179, 323433, 3892, 15235, 341512, 12665, 297969, 263985, 45853, 2425, 258243, 523, 615154, 27905, 940457, 74208, 414027, 10085, 25141, 382166, 30616, 583744, 278720, 96409, 2820, 242065, 547, 101835, 50533, 1025910, 68222, 367331, 10170, 25998, 388153, 29924, 593890, 284761, 103745, 3135, 283382, 871, 110681, 30085, 940003, 74157, 414038, 10101, 25192, 382538, 30700, 593829, 278730, 96298, 2761, 241058, 603, 137733, 26527, 1149008, 75565, 426171, 10785, 27718, 398439, 55472, 635838, 282485, 113908, 2887, 243706, 746, 198450, 
59871, 1337125, 120756, 658985, 19618, 37944, 617521, 61103, 681661, 340033, 141105, 6220, 385482, 1765, 105186, 1343985, 341455, 37225, 323742, 3883, 15127, 341513, 12687, 297108, 263952, 45828, 2431, 258539, 504, 613822, 27729, 940458, 74281, 414087, 10174, 25039, 382129, 30668, 584985, 278697, 96421, 2813, 242776, 569, 101846, 50198, 1025910, 68059, 367489, 10192, 26019, 387858, 29881, 595878, 284834, 103755, 3126, 283050, 870, 110892, 30176, 940003, 74393, 413835, 10137, 25135, 382300, 30370, 594301, 278714, 96394, 2712, 241502, 572, 138318, 27026, 1149008, 75585, 426467, 10780, 27641, 398168, 54994, 635295, 282541, 113820, 2926, 242822, 742, 198316, 
59754, 1337094, 121086, 658459, 19516, 37914, 617140, 60992, 681898, 339678, 141329, 6381, 385687, 1717, 104811, 1346838, 341446, 37573, 323416, 3897, 14093, 341504, 12748, 297257, 263994, 45964, 2476, 258287, 525, 613177, 27800, 940449, 74280, 413941, 10177, 25123, 381820, 30810, 583001, 278728, 96390, 2737, 242855, 569, 101701, 49931, 1025910, 67548, 367595, 10216, 26050, 388092, 29955, 595476, 284854, 103749, 3131, 282867, 923, 110529, 30291, 940003, 74408, 414419, 10139, 25106, 382214, 30687, 594705, 278723, 96371, 2731, 242012, 563, 138072, 26166, 1149008, 75351, 426387, 10721, 27723, 398111, 55047, 636376, 282550, 114024, 2930, 243064, 735, 198601, 
59678, 1337048, 121656, 659107, 19730, 38036, 617080, 61085, 683447, 339659, 141459, 6200, 385456, 1723, 104943, 1361736, 341448, 37501, 323654, 3878, 14866, 341506, 12784, 299075, 263995, 45866, 2416, 258222, 511, 606245, 27563, 940451, 74026, 413699, 10072, 25164, 381998, 30538, 584268, 278741, 96373, 2782, 242213, 564, 101964, 50539, 1025910, 67930, 367421, 10125, 26072, 388102, 29917, 592279, 284825, 103658, 3136, 282616, 868, 110705, 30404, 940003, 74897, 414031, 10196, 25176, 382313, 30875, 594015, 278737, 96304, 2717, 241039, 583, 137332, 26499, 1149008, 76290, 426045, 10825, 27705, 398277, 55175, 636035, 282520, 113621, 2829, 242494, 740, 198531, 
59481, 1337027, 120961, 658029, 19336, 37922, 616881, 61082, 681872, 339677, 140998, 6251, 385740, 1697, 104605, 1351098, 341412, 36935, 323673, 3877, 15119, 341470, 12786, 299036, 263893, 45753, 2421, 258490, 502, 614774, 27624, 940415, 74544, 413629, 10247, 25141, 381885, 30663, 585891, 278650, 96251, 2746, 242094, 568, 101859, 50836, 1025910, 68385, 367456, 10165, 26072, 388264, 30034, 597213, 284796, 103689, 3140, 283181, 867, 110934, 30635, 940003, 74472, 413661, 10172, 25189, 382187, 30678, 594941, 278649, 96233, 2712, 241259, 567, 137667, 27051, 1149008, 75947, 425979, 10775, 27722, 398050, 55157, 635761, 282528, 113885, 2835, 243430, 757, 198697, 
